Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,-1.243594292775334,-1.2494489782822926,-1.2449310260636883,-1.2485948137273994,-1.2485948137273994,0.09454926605529805
2014-01-03,-1.2467136308330242,-1.251607738830043,-1.2468051907694582,-1.2516297341623814,-1.2516297341623814,0.08801289316502829
2014-01-06,-1.2498494356904202,-1.2551643443251939,-1.2526251770590655,-1.2565874568142843,-1.2565874568142843,0.14531014787008983
2014-01-07,-1.2521502298256832,-1.250199089555946,-1.2463880994914522,-1.2458452593598626,-1.2458452593598626,0.14397062205489858
2014-01-08,-1.2451580785041056,-1.2465373394695565,-1.2413062295868704,-1.2424649517130106,-1.2424649517130106,0.15010935185091867
2014-01-09,-1.2384242120961126,-1.2435716790233384,-1.2419372931502954,-1.2450267406276752,-1.2450267406276752,0.13815715331523476
2014-01-10,-1.24117106237639,-1.2457466459262108,-1.2420718127356312,-1.2400010291123342,-1.2400010291123342,0.13158779620516553
2014-01-13,-1.241587106889623,-1.2444540775242876,-1.254205649514972,-1.2566909003684092,-1.2566909003684092,0.14800385915371655
2014-01-14,-1.251870033690392,-1.2432749546875992,-1.2465719249607738,-1.2377301835052514,-1.2377301835052514,0.12161098594414123
2014-01-15,-1.2336676529318278,-1.233843816924826,-1.2273173879928445,-1.2290657546643193,-1.2290657546643193,0.127812935494777
2014-01-16,-1.2301158035611992,-1.233711661381924,-1.2250727581150915,-1.2280295927567548,-1.2280295927567548,0.11901531109158527
2014-01-17,-1.23059718304218,-1.2342620241611646,-1.2296964032749556,-1.2337705121638887,-1.2337705121638887,0.1322566428844334
2014-01-21,-1.2264741855467454,-1.231377396030247,-1.228088464329713,-1.2261069229816104,-1.2261069229816104,0.12159724251922475
2014-01-22,-1.2233193911633105,-1.2263529809678784,-1.2192116386331708,-1.221418366075574,-1.221418366075574,0.12094488794985665
2014-01-23,-1.2260989087914804,-1.2323192187327943,-1.2283327167890115,-1.2279779372005806,-1.2279779372005806,0.1360690689562602
2014-01-24,-1.2340917978551356,-1.239472748084311,-1.2459243815586267,-1.252646907128299,-1.252646907128299,0.1633259454789171
2014-01-27,-1.251157459503903,-1.2560601824597784,-1.2666524720674408,-1.2647651433627924,-1.2647651433627924,0.15497085935803545
2014-01-28,-1.268661010528702,-1.265949977774343,-1.2625200113297383,-1.260862637916967,-1.260862637916967,0.12683348741239714
2014-01-29,-1.2706327403606312,-1.2682544651830245,-1.268811955197134,-1.2735166824505861,-1.2735166824505861,0.139722071299056
2014-01-30,-1.260243776921091,-1.2562275179741018,-1.2552539382629815,-1.2540175677388303,-1.2540175677388303,0.13390951878771995
2014-01-31,-1.2684516601420672,-1.259174205073866,-1.2625419176776778,-1.2592526892830738,-1.2592526892830738,0.1460183923674515
2014-02-03,-1.2585440098246001,-1.2622423750742293,-1.283851765591532,-1.2883300288763737,-1.2883300288763737,0.17501335402787715
2014-02-04,-1.2818294913244495,-1.2809560911751607,-1.2798372773727553,-1.2789312699443622,-1.2789312699443622,0.13436305180996327
2014-02-05,-1.282901008456276,-1.2857916937542064,-1.2898226846263063,-1.2843621907454021,-1.2843621907454021,0.13390493764608113
2014-02-06,-1.2809537792032568,-1.2755969389721031,-1.275010646578086,-1.2719692117968597,-1.2719692117968597,0.1132293292017544
2014-02-07,-1.264864421348527,-1.2587451935108311,-1.261905360651746,-1.253275137758916,-1.253275137758916,0.12359645273040622
2014-02-10,-1.2530884215778646,-1.2528652589449383,-1.2474500546680403,-1.2472078198096046,-1.2472078198096046,0.10125147627289312
2014-02-11,-1.2450546317664641,-1.2393163485810772,-1.239083573010346,-1.2355464484169845,-1.2355464484169845,0.11792499938154587
2014-02-12,-1.2335805397321513,-1.2355115069406957,-1.228851233793931,-1.232761572072491,-1.232761572072491,0.1217676609881889
2014-02-13,-1.2404530434959375,-1.2279396383986019,-1.2343172350246758,-1.2220520409606426,-1.2220520409606426,0.14138410948562025
2014-02-14,-1.2226612625566424,-1.2251763617537352,-1.2191485324140277,-1.2211409671832334,-1.2211409671832334,0.1076229280641653
2014-02-18,-1.2181167758540115,-1.2180470760927047,-1.2142614749037803,-1.2133196235282266,-1.2133196235282266,0.10805355537821447
