Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-01-16,-1.2301158035611992,-1.233711661381924,-1.2250727581150915,-1.2280295927567548,-1.2280295927567548,0.1190153110915852,3,1,1,-1.2383034920814135,-1.2433071603084282,-1.229065754664319,-1.2450267406276752,-0.00010033566658416002
2014-01-17,-1.23059718304218,-1.2342620241611646,-1.2296964032749556,-1.2337705121638889,-1.2337705121638889,0.1322566428844334,4,1,1,-1.2370573886917247,-1.2415212381085792,-1.2280295927567548,-1.2400010291123342,0.0006182869959616899
2014-01-21,-1.2264741855467454,-1.231377396030247,-1.228088464329713,-1.2261069229816104,-1.2261069229816104,0.1215972425192247,1,1,1,-1.2309405932143649,-1.2384731847253119,-1.2337705121638889,-1.2566909003684092,-0.0007553036023942774
2014-01-22,-1.2233193911633105,-1.2263529809678784,-1.2192116386331708,-1.221418366075574,-1.221418366075574,0.1209448879498566,2,1,1,-1.2276782297284294,-1.2360304953968828,-1.2261069229816104,-1.2377301835052514,-0.00046248575798605256
2014-01-23,-1.2260989087914804,-1.2323192187327945,-1.2283327167890117,-1.2279779372005806,-1.2279779372005806,0.1360690689562602,3,1,1,-1.2274606662356817,-1.2345817939456398,-1.221418366075574,-1.229065754664319,0.0007307526728943812
2014-01-24,-1.2340917978551356,-1.239472748084311,-1.2459243815586267,-1.252646907128299,-1.252646907128299,0.1633259454789171,4,1,1,-1.2323841291099904,-1.2353438105957022,-1.2279779372005806,-1.2280295927567548,0.0032810710317977597
2014-01-27,-1.251157459503903,-1.2560601824597784,-1.2666524720674408,-1.2647651433627924,-1.2647651433627924,0.1549708593580354,0,1,1,-1.2385830553497712,-1.2378202220207482,-1.252646907128299,-1.2337705121638889,0.001499204183139212
2014-01-28,-1.268661010528702,-1.265949977774343,-1.2625200113297383,-1.260862637916967,-1.260862637916967,0.1268334874123971,1,1,1,-1.2455341983368426,-1.2382373957756037,-1.2647651433627924,-1.2261069229816104,-0.0003913520054987331
2014-01-29,-1.2706327403606312,-1.2682544651830243,-1.268811955197134,-1.273516682450586,-1.273516682450586,0.139722071299056,2,1,1,-1.2559538616118449,-1.2418160456701373,-1.260862637916967,-1.221418366075574,0.001402253710577617
2014-01-30,-1.260243776921091,-1.2562275179741018,-1.2552539382629817,-1.2540175677388303,-1.2540175677388303,0.1339095187877199,3,1,1,-1.261161787719495,-1.2443112269775884,-1.273516682450586,-1.2279779372005806,-0.0020503202697064443
2014-01-31,-1.2684516601420672,-1.259174205073866,-1.2625419176776778,-1.2592526892830738,-1.2592526892830738,0.1460183923674515,4,1,1,-1.26248294415045,-1.2474335366302203,-1.2540175677388303,-1.252646907128299,0.0006095800022299478
2014-02-03,-1.2585440098246,-1.262242375074229,-1.283851765591532,-1.2883300288763735,-1.2883300288763735,0.1750133540278771,0,2,1,-1.267195921253166,-1.2528894883014687,-1.2592526892830738,-1.2647651433627924,0.004041224427583501
2014-02-04,-1.2818294913244497,-1.2809560911751607,-1.279837277372755,-1.2789312699443622,-1.2789312699443622,0.1343630518099632,1,2,1,-1.2708096476586452,-1.2581719229977437,-1.2883300288763735,-1.260862637916967,-0.0009802192800183146
